City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Nizwa,OM,2021-12-02 14:13:04,22.9333,57.5333,76.46,31,65,7.27
219,Cabo San Lucas,MX,2021-12-02 14:09:28,22.8909,-109.9124,74.52,68,1,1.01
220,Nouadhibou,MR,2021-12-02 14:13:04,20.931,-17.0347,70.07,45,100,17.34
221,Tromso,NO,2021-12-02 14:13:05,69.6496,18.957,28.42,59,0,6.91
222,Mobai,SL,2021-12-02 14:13:05,7.9944,-10.7511,93.54,42,89,0.92
223,Genhe,CN,2021-12-02 14:13:05,50.7833,121.5167,-4.61,99,59,2.77
224,Soe,ID,2021-12-02 14:13:05,-9.8607,124.284,69.78,92,100,3.04
225,Vertientes,CU,2021-12-02 14:13:06,21.2594,-78.1464,75.81,74,0,10.13
226,Lishui,CN,2021-12-02 14:13:06,28.4604,119.9103,41.97,69,20,1.23
227,Marawi,PH,2021-12-02 14:13:06,7.9986,124.2928,69.66,93,100,1.66
228,Natal,BR,2021-12-02 14:13:06,-5.795,-35.2094,90.25,48,40,12.66
229,Rabo De Peixe,PT,2021-12-02 14:13:07,37.8,-25.5833,69.28,99,75,4.61
230,Abha,SA,2021-12-02 14:13:07,18.2164,42.5053,62.85,63,0,11.5
231,Qaanaaq,GL,2021-12-02 14:13:07,77.484,-69.3632,5.5,68,100,6.76
232,Santa Lucia,ES,2021-12-02 14:13:07,27.9117,-15.5407,61.92,60,40,26.46
233,Belmonte,BR,2021-12-02 14:13:08,-15.8631,-38.8828,81.1,77,85,11.25
234,Thiers,FR,2021-12-02 14:13:08,45.8333,3.5,43.12,80,38,9.64
235,Saint George,US,2021-12-02 14:09:52,37.1041,-113.5841,55.35,45,1,0.0
236,Krasnogvardeyskiy,RU,2021-12-02 14:13:08,57.3793,62.3195,29.44,80,58,9.73
237,Carutapera,BR,2021-12-02 14:13:08,-1.195,-46.02,87.33,58,100,5.84
238,Kolpny,RU,2021-12-02 14:13:09,52.2282,37.0368,29.34,95,100,17.54
